DEWP,TEMP,Iws,DT_corss,DIR_cross,DIS_corss,Is,Ir,pm2.5
-0.051682512,-0.132850896,0.000624634,1.11927033,0.143413537,-0.865857177,1.183744942,-0.196065879,2
-0.059795193,-0.158604491,0.02807787,1.545996955,0.165925371,-21.61768878,25.54456339,-0.196065879,2
-0.113463692,-0.180903335,0.052042695,3.346034143,0.314849812,0.158019798,-0.098403396,-0.196065879,0
-0.131977244,-0.203202179,0.019725991,4.371739745,0.366222971,0.183803445,-0.098403396,-0.196065879,1
-0.127608878,-0.188755041,-0.003157704,3.926506601,0.354101215,0.177719663,-0.098403396,-0.196065879,1
-0.115335849,-0.188440973,-0.008127672,3.542962352,0.32004485,0.160627134,-0.098403396,-0.196065879,1
-0.094742122,-0.182473676,-0.013011496,2.818189647,0.262899425,0.131946448,-0.098403396,-0.196065879,3
-0.090789791,-0.163001446,-0.006263562,2.412433542,0.251932121,0.126442074,-0.098403396,-0.196065879,2
-0.088917634,-0.160174832,-0.003810602,2.321715816,0.246737083,0.123834738,-0.098403396,-0.196065879,1
-0.112631622,-0.159860764,0.010649471,2.935141932,0.312540905,0.156860983,-0.098403396,-0.196065879,0
-0.126776808,-0.187812836,0.021786467,3.881431873,0.351792308,0.176560848,-0.098403396,-0.196065879,0
-0.118872145,-0.169596879,0.08695262,3.286433435,0.329857701,0.1655521,-0.098403396,-0.196065879,1
-0.097238332,-0.16582806,-0.00629931,2.628587288,0.269826143,0.135422894,-0.098403396,-0.196065879,2
-0.09495014,-0.147298035,-0.00680996,2.279919146,0.263476652,0.132236152,-0.098403396,-0.196065879,1
-0.076644605,-0.157662286,-0.012591457,1.969864238,0.212680718,0.106742209,-0.098403396,-0.196065879,3
-0.069572012,-0.148868376,-0.011723575,1.68835551,0.193055017,0.096892276,-0.098403396,-0.196065879,3
-0.057507001,-0.131280555,-0.011257858,1.230688117,0.159575879,0.08008945,-0.098403396,-0.196065879,3
-0.028176542,-0.092022027,-0.01133407,0.422674814,0.07818694,0.0392412,-0.098403396,-0.196065879,3
-0.064371576,-0.103014415,0.006356978,1.080983408,0.178624354,0.089649679,-0.098403396,-0.196065879,2
-0.114919814,-0.140388534,0.021007459,2.629986001,0.318890397,0.160047726,-0.098403396,-0.196065879,0
-0.10306282,-0.128768009,0.041259455,2.163400308,0.285988486,0.143534604,-0.098403396,-0.196065879,0
-0.09940416,-0.114616465,0.012326152,1.857284582,0.27583609,0.138439223,-0.098403396,-0.196065879,0
-0.081220989,-0.109295779,-0.012611565,1.447100014,0.225379702,0.113115694,-0.098403396,-0.196065879,3
-0.067699855,-0.085740662,0.000533527,0.946240339,0.187859978,0.094284941,-0.098403396,-0.196065879,2
-0.104726959,-0.103328483,0.010403207,1.764027829,0.290606298,0.145852235,-0.098403396,-0.196065879,0
-0.117208006,-0.089509481,0.012223873,1.710224799,0.325239889,0.163234469,-0.098403396,-0.196065879,0
-0.102646785,-0.079459298,0.009654484,1.329587606,0.284834033,0.142955196,-0.098403396,-0.196065879,1
-0.088085564,-0.084170321,0.023056763,1.208622318,0.244428177,0.122675923,-0.098403396,-0.196065879,1
-0.059587175,-0.115891212,-0.006418966,1.125719495,0.165348144,0.082986489,-0.098403396,-0.196065879,1
-0.090581773,-0.135049374,-0.010636239,1.994161281,0.251354895,0.12615237,-0.098403396,-0.196065879,1
-0.108887308,-0.133164965,-0.00529911,2.363709626,0.302150828,0.151646313,-0.098403396,-0.196065879,2
-0.111591535,-0.13222276,-0.010846755,2.405272874,0.309654773,0.155412463,-0.098403396,-0.196065879,1
-0.080804954,-0.124999191,-0.011367832,1.646539191,0.224225249,0.112536286,-0.098403396,-0.196065879,2
-0.061459332,-0.131908692,-0.000591543,1.321563799,0.170543183,-0.964049333,1.108324453,-0.196065879,2
-0.041697675,-0.1268836,-0.010748697,0.862470444,0.115706664,-1.766788083,2.993836715,-0.196065879,2
-0.035457152,-0.105841029,-0.012245893,0.611765229,0.098389868,0.049380837,-0.098403396,-0.196065879,3
-0.058339071,-0.093906436,-0.012223551,0.893062286,0.161884785,0.081248266,-0.098403396,-0.196065879,3
-0.120536285,-0.106155097,0.009858546,2.085861831,0.334475513,0.167869731,-0.098403396,-0.196065879,0
-0.119704215,-0.121858508,0.001935643,2.377892324,0.332166607,0.166710915,-0.098403396,-0.196065879,0
-0.116791971,-0.133479033,-0.010103991,2.541282365,0.324085436,0.162655061,-0.098403396,-0.196065879,0
-0.098278419,-0.128768009,-0.008849583,2.062970543,0.272712276,0.136871414,-0.098403396,-0.196065879,2
-0.110397696,-0.125681948,-0.008605607,2.261829142,0.306341995,0.153749815,-0.098403396,-0.196065879,2
-0.120536285,-0.135991579,-0.010625813,2.672124572,0.334475513,0.167869731,-0.098403396,-0.196065879,0
-0.093910052,-0.134735306,-0.009716969,2.062625488,0.260590519,0.130787632,-0.098403396,-0.196065879,2
-0.104518942,-0.111494257,0.01182419,1.899653476,0.290029071,0.145562531,-0.098403396,-0.196065879,1
-0.104102907,-0.109609848,-0.011436598,1.860112945,0.288874618,0.144983123,-0.098403396,-0.196065879,2
-0.087045477,-0.093592368,-0.011960157,1.328047259,0.241542044,0.121227403,-0.098403396,-0.196065879,2
-0.060627262,-0.087625072,-0.012013034,0.866010642,0.168234277,0.084435009,-0.098403396,-0.196065879,3
-0.057715018,-0.062499614,-0.005496965,0.588021294,0.160153106,0.080379154,-0.098403396,-0.196065879,2
-0.048146216,-0.093592368,-0.00221063,0.73456373,0.133600686,0.067052775,-0.098403396,-0.196065879,2
-0.041905693,-0.093592368,-0.013200663,0.639352468,0.11628389,0.058361658,-0.098403396,-0.196065879,3
-0.021728001,-0.061243341,-0.008494089,0.216922966,0.060292918,0.03026038,-0.098403396,-0.196065879,3
-0.015903513,-0.064698091,-0.001136949,0.16773026,0.044130576,0.022148671,-0.098403396,-0.196065879,3
