DEWP,PRES,TEMP,Is,Ir,Iws,pm2.5
2.146203901,0.134713055,-0.170595507,-0.036373388,0.022519933,0.019994001,2
46.23672945,-0.237423562,0.354056282,0.044231255,-0.018625417,0.069125794,2
-0.173615708,0.243254554,-0.199861485,0.005770577,0.044918534,0.046289999,0
-0.17318677,0.291903996,-0.200744956,-0.014446841,0.019027567,0.029891914,1
-0.173291528,0.281243334,-0.200589718,-0.024359215,-0.00082878,0.018078581,1
-0.173303585,0.277435121,-0.200470449,-0.032506548,0.00193131,0.00804564,1
-0.173735172,0.224250094,-0.199503577,-0.055230975,0.013544831,0.036899562,3
-0.173815197,0.218190669,-0.199408128,-0.036012053,0.008926435,0.020954426,2
-0.173641162,0.23855332,-0.199741389,-0.026862707,0.007523444,-0.005528887,1
-0.173481575,0.261889494,-0.200237415,-0.003013543,0.003537795,-0.003577618,0
-0.173467555,0.261395301,-0.200234998,-0.010256604,0.017778276,0.042354512,0
-0.17360146,0.248267924,-0.199974719,0.038619871,0.06266231,0.041095169,1
-0.174000443,0.197563138,-0.199088563,-0.040996649,0.009050276,0.053068794,2
-0.173466646,0.262126018,-0.200193535,-0.012564825,-0.005734054,-0.038456037,1
-0.173653093,0.234612084,-0.199638804,-0.041451949,0.01029516,-0.018714848,3
-0.17396656,0.198551358,-0.199019693,-0.046892269,0.014383134,0.004149087,3
-0.17422785,0.169004135,-0.198505656,-0.047689864,0.016674359,0.005543839,3
-0.174899938,0.092492255,-0.197166191,-0.051660848,0.021813411,0.017543812,3
-0.174203559,0.179121166,-0.198736447,-0.00427476,0.006509094,-0.023361142,2
-0.173485763,0.265372092,-0.200341237,0.017878646,0.001153229,-0.023034816,0
-0.173698324,0.240856443,-0.199882797,0.029807656,0.018397127,-0.017159732,0
-0.17407239,0.199278416,-0.199213062,0.009862198,-0.00421466,0.004743594,0
-0.174631641,0.131221034,-0.198026872,-0.032464764,-0.004577641,0.049234612,3
-0.175110451,0.078092587,-0.197100311,-0.020552998,0.002565219,0.071345296,2
-0.174341247,0.171312278,-0.198793941,0.011366907,-0.010989355,0.028949502,0
-0.174594186,0.147025025,-0.198475213,0.019718571,-0.019686189,0.054755537,0
