DEWP,TEMP,PRES,Iws,Is,Ir
-0.731455862,-1.530195311,0.829865849,0.025590307,1.183744942,-0.196065879
-0.846273567,-1.826828836,0.63530878,1.150307122,25.54456339,-0.196065879
-1.60583684,-2.083670059,1.281072777,2.132109121,-0.098403396,-0.196065879
-1.867856728,-2.340511282,1.711582075,0.808143506,-0.098403396,-0.196065879
-1.806031811,-2.17410711,1.724000613,-0.129366291,-0.098403396,-0.196065879
-1.632333233,-2.170489628,1.757116682,-0.332978205,-0.098403396,-0.196065879
-1.340872907,-2.101757469,1.152747847,-0.53306098,-0.098403396,-0.196065879
-1.284936077,-1.877473584,1.2562357,-0.256608481,-0.098403396,-0.196065879
-1.258439683,-1.844916246,1.599815229,-0.15611451,-0.098403396,-0.196065879
-1.594060665,-1.841298764,1.781953759,0.436292419,-0.098403396,-0.196065879
-1.794255636,-2.163254664,1.421816146,0.892558036,-0.098403396,-0.196065879
-1.682381975,-1.953440707,1.396979069,3.562315,-0.098403396,-0.196065879
-1.376201431,-1.910030922,0.875400456,-0.258073023,-0.098403396,-0.196065879
-1.343816951,-1.696599484,2.030324527,-0.278993587,-0.098403396,-0.196065879
-1.084741106,-1.81597639,1.653628928,-0.515852621,-0.098403396,-0.196065879
-0.98464362,-1.714686894,1.23553807,-0.480296814,-0.098403396,-0.196065879
-0.813889086,-1.512107901,1.028562463,-0.461217096,-0.098403396,-0.196065879
-0.398778925,-1.059922648,0.424193627,-0.464339417,-0.098403396,-0.196065879
-0.911042528,-1.186534519,1.372141992,0.260435596,-0.098403396,-0.196065879
-1.626445146,-1.617014879,1.984789919,0.860643241,-0.098403396,-0.196065879
-1.458634655,-1.483168044,1.786093305,1.690336361,-0.098403396,-0.196065879
-1.406854122,-1.320168561,1.328068401,0.504983471,-0.098403396,-0.196065879
-1.149510067,-1.258884159,0.490425766,-0.516676425,-0.098403396,-0.196065879
-0.958147227,-0.987573008,-0.018734308,0.021857761,-0.098403396,-0.196065879
-1.482187004,-1.190152001,0.970609317,0.426203357,-0.098403396,-0.196065879
-1.658829626,-1.030982792,0.639448227,0.500793256,-0.098403396,-0.196065879
-1.452746567,-0.915223368,0.312426782,0.395529355,-0.098403396,-0.196065879
-1.246663509,-0.969485598,0.776052149,0.944600102,-0.098403396,-0.196065879
-0.843329523,-1.334851282,1.028562463,-0.262975168,-0.098403396,-0.196065879
-1.281992034,-1.555517685,1.18172447,-0.435750351,-0.098403396,-0.196065879
-1.541067878,-1.533812793,1.202422,-0.217096379,-0.098403396,-0.196065879
-1.579340446,-1.522960347,1.032702009,-0.444374872,-0.098403396,-0.196065879
-1.143621979,-1.43975826,1.334886377,-0.465722595,-0.098403396,-0.196065879
-0.869825916,-1.519342865,1.405258161,-0.024234606,1.108324453,-0.196065879
-0.590141765,-1.461463152,0.622890242,-0.440357554,2.993836715,-0.196065879
-0.501820454,-1.219091857,0.279310613,-0.501695389,-0.098403396,-0.196065879
-0.825665261,-1.081627541,0.734657087,-0.50078005,-0.098403396,-0.196065879
-1.705934325,-1.222709339,1.446653222,0.403889444,-0.098403396,-0.196065879
-1.69415815,-1.40358344,1.918557681,0.079300323,-0.098403396,-0.196065879
-1.652941539,-1.537430275,1.839907004,-0.41394496,-0.098403396,-0.196065879
-1.39092165,-1.483168044,1.231398623,-0.362553801,-0.098403396,-0.196065879
-1.562444196,-1.447622352,1.619252924,-0.352558484,-0.098403396,-0.196065879
-1.705934325,-1.566370131,1.860604535,-0.435323194,-0.098403396,-0.196065879
-1.329096732,-1.551900203,1.372141992,-0.398089267,-0.098403396,-0.196065879
-1.479242961,-1.284206534,0.978888309,0.484418871,-0.098403396,-0.196065879
-1.473354873,-1.262501641,0.726377996,-0.468539802,-0.098403396,-0.196065879
