DEWP,TEMP,PRES,Iws,Is,Ir,pm2.5
-0.051682512,-0.132850896,0.082445767,0.000624634,2.142686981,-0.193523709,2
-0.059795193,-0.158604491,0.063116852,0.02807787,46.23800404,-0.193523709,2
-0.113463692,-0.180903335,0.127272412,0.052042695,-0.178119178,-0.193523709,0
-0.131977244,-0.203202179,0.170042782,0.019725991,-0.178119178,-0.193523709,1
-0.127608878,-0.188755041,0.171276542,-0.003157704,-0.178119178,-0.193523709,1
-0.115335849,-0.188440973,0.174566568,-0.008127672,-0.178119178,-0.193523709,1
-0.094742122,-0.182473676,0.114523547,-0.013011496,-0.178119178,-0.193523709,3
-0.090789791,-0.163001446,0.12480489,-0.006263562,-0.178119178,-0.193523709,2
-0.088917634,-0.160174832,0.158938935,-0.003810602,-0.178119178,-0.193523709,1
-0.112631622,-0.159860764,0.177034089,0.010649471,-0.178119178,-0.193523709,0
-0.126776808,-0.187812836,0.141255027,0.021786467,-0.178119178,-0.193523709,0
-0.118872145,-0.169596879,0.138787506,0.08695262,-0.178119178,-0.193523709,1
-0.097238332,-0.16582806,0.086969553,-0.00629931,-0.178119178,-0.193523709,2
-0.09495014,-0.147298035,0.201709305,-0.00680996,-0.178119178,-0.193523709,1
-0.076644605,-0.157662286,0.164285235,-0.012591457,-0.178119178,-0.193523709,3
-0.069572012,-0.148868376,0.122748616,-0.011723575,-0.178119178,-0.193523709,3
-0.057507001,-0.131280555,0.102185939,-0.011257858,-0.178119178,-0.193523709,3
-0.028176542,-0.092022027,0.042142919,-0.01133407,-0.178119178,-0.193523709,3
-0.064371576,-0.103014415,0.136319984,0.006356978,-0.178119178,-0.193523709,2
-0.114919814,-0.140388534,0.197185519,0.021007459,-0.178119178,-0.193523709,0
-0.10306282,-0.128768009,0.177445346,0.041259455,-0.178119178,-0.193523709,0
-0.09940416,-0.114616465,0.131941347,0.012326152,-0.178119178,-0.193523709,0
-0.081220989,-0.109295779,0.04872297,-0.012611565,-0.178119178,-0.193523709,3
-0.067699855,-0.085740662,-0.001861222,0.000533527,-0.178119178,-0.193523709,2
-0.104726959,-0.103328483,0.096428393,0.010403207,-0.178119178,-0.193523709,0
-0.117208006,-0.089509481,0.063528099,0.012223873,-0.178119178,-0.193523709,0
-0.102646785,-0.079459298,0.031039072,0.009654484,-0.178119178,-0.193523709,1
-0.088085564,-0.084170321,0.077099467,0.023056763,-0.178119178,-0.193523709,1
-0.059587175,-0.115891212,0.102185939,-0.006418966,-0.178119178,-0.193523709,1
-0.090581773,-0.135049374,0.117402326,-0.010636239,-0.178119178,-0.193523709,1
-0.108887308,-0.133164965,0.11945859,-0.00529911,-0.178119178,-0.193523709,2
-0.111591535,-0.13222276,0.102597196,-0.010846755,-0.178119178,-0.193523709,1
-0.080804954,-0.124999191,0.132618702,-0.011367832,-0.178119178,-0.193523709,2
-0.061459332,-0.131908692,0.139610019,-0.000591543,2.006168974,-0.193523709,2
-0.041697675,-0.1268836,0.061883091,-0.010748697,5.419119208,-0.193523709,2
-0.035457152,-0.105841029,0.027749037,-0.012245893,-0.178119178,-0.193523709,3
-0.058339071,-0.093906436,0.072986938,-0.012223551,-0.178119178,-0.193523709,3
-0.120536285,-0.106155097,0.143722549,0.009858546,-0.178119178,-0.193523709,0
-0.119704215,-0.121858508,0.190605458,0.001935643,-0.178119178,-0.193523709,0
-0.116791971,-0.133479033,0.182791646,-0.010103991,-0.178119178,-0.193523709,0
