pm2.5,Iws,TEMP,DEWP,PRES,Ir,Is
45.84607902,13.98084628,-19.74177888,-0.723251855,5.840703198,-0.633204336,0.336762737
-29.00196561,45.55943076,-14.74746914,0.113684309,10.93198462,-1.853630996,13.59289735
-83.83274673,77.08509444,-20.12687523,-0.132996807,7.178411697,-0.730943437,-0.43425758
-62.38622916,28.04823161,-35.62970703,-0.514749139,5.758790498,-0.513692616,-0.39199449
-41.14012079,-6.521051821,-40.58535603,-0.259252095,3.918967758,-0.308503863,-0.309919037
-27.09107215,-12.37650701,-40.36387744,-1.668792479,4.529247193,-0.398267491,-0.348021144
79.73876112,-0.132067111,-34.25005924,2.191560861,5.333268887,-0.365683064,-0.350702412
-8.432510422,-6.822521469,-32.04467353,-0.173952305,5.291529341,-0.489060741,-0.351076124
-39.8765005,-8.869123456,-32.90889413,-3.603048063,4.713156932,-0.519952093,-0.358591465
-81.31923671,7.912428406,-33.16272193,-3.17852357,2.947272698,-0.342622001,-0.284859276
-84.30070977,26.5554539,-32.1590265,1.019793867,6.070517009,-0.552856433,-0.376982292
-86.72033052,135.4195681,-10.10085874,-1.380126135,5.339070937,-0.598185852,-0.379768967
-3.33121425,-5.918129528,-31.28499793,3.748174961,6.203892298,-0.496754711,-0.347710319
-50.52236952,-15.75767001,-35.80667485,-6.44578867,1.519779401,-0.255742995,-0.258045649
81.04675405,0.396550527,-32.16701316,-3.949011251,2.532908302,-0.235528691,-0.294831167
111.7718645,7.450562594,-27.91538747,-1.005714106,2.952103173,-0.221044363,-0.280730791
161.6643564,17.59874094,-23.1562711,-0.138815288,1.701317272,-0.075341778,-0.22299435
240.7986188,31.7013299,-12.37139172,2.378369034,0.349868376,0.090872593,-0.137268877
-15.60219399,11.60773036,-20.91592794,-4.432284862,1.016718208,-0.229793891,-0.203258374
-77.88962016,26.02233683,-29.79512369,-4.768061365,-0.085615202,-0.082898582,-0.179441165
-82.1717029,58.67360993,-20.41341588,-5.051848474,0.627850997,-0.202935304,-0.207281987
-78.69229776,10.00931894,-25.38990751,-0.877332257,0.742822803,-0.131009142,-0.154824168
98.64500671,2.585885295,-23.53423756,6.447897241,0.457981224,0.140283059,-0.08725715
22.62749729,8.372212712,-14.81171157,7.983302251,2.700252856,-0.156013674,-0.135071101
-80.04992914,6.239106246,-24.20132622,2.73978553,0.282817191,-0.021094224,-0.093846486
-78.07226079,9.631997043,-22.72504898,6.910494828,-1.244288346,0.21316217,0.012902752
-57.11195676,8.770466428,-18.982699,8.231116391,-0.392033523,0.140155217,-0.002858772
-66.40802033,29.47881405,-15.65490207,2.277431196,0.139720261,-0.052058473,-0.088042851
-31.44264522,-13.33279335,-23.7203185,-2.025026153,4.313985128,-0.516491263,-0.304266023
-29.42650022,-18.83741264,-31.21851892,0.37836317,2.990235039,-0.279890036,-0.239472933
-19.6361029,-7.379674523,-31.86218102,2.28965003,0.864640745,-0.006226165,-0.141705202
-36.46952339,-20.18449248,-33.28401098,3.967194059,1.454192273,-0.040007113,-0.142371926
-16.56706971,-17.75855071,-29.90540349,-1.828875803,1.958970988,-0.226702636,-0.219512981
-22.28203106,-1.139499773,-25.02049422,-5.007769775,4.437419927,-0.599433763,0.315400071
13.62473105,-12.17972036,-20.90985832,-0.210324497,7.516097985,-0.874409429,1.289067251
81.68784474,-1.65924933,-16.35009578,2.719381615,5.341724836,-0.493450432,-0.30488004
61.07335015,-4.978151075,-20.9178695,1.430917912,0.887684019,-0.060542971,-0.140739194
-88.57628484,4.411462728,-29.01155624,0.569800851,-2.282062939,0.216304116,-0.019482826
-84.09088982,-7.51863547,-34.56675758,-3.188920619,-2.272827828,0.168306815,-0.065358507
-71.50442849,-25.25821955,-38.10751157,-2.459005658,-0.839896055,0.059816752,-0.117079503
-17.86989698,-13.32962694,-31.29646369,0.949657798,1.186529413,-0.076062038,-0.164526517
6.738688461,-7.383895665,-34.0350099,-0.577610898,-2.140687275,0.262174925,-0.056930897
-64.57807685,-24.59206481,-38.94208633,-2.116343348,-1.139634189,0.108133381,-0.104569244
-2.370043681,-11.60694596,-31.83945214,-0.540129279,1.384642156,-0.112628782,-0.192533536
-35.31400658,17.75988342,-23.72445035,3.06192406,0.138654888,0.034516714,-0.096656318
-15.48947767,-17.65721182,-29.04932055,5.914254299,0.243682085,0.104270302,-0.06778626
17.44585245,-13.07141217,-21.9931226,10.13034503,1.703864897,0.020424368,-0.076011517
81.87724586,-1.240408643,-15.28310269,10.97470469,3.30039898,-0.12099819,-0.134067672
28.02649789,-1.475270438,-12.14137958,9.486132979,1.916637959,-0.07289127,-0.077056985
-3.617557237,-1.807941816,-15.10137896,3.561716291,5.099447407,-0.512361138,-0.270106192
70.67631483,-6.321054565,-11.28639384,13.09981227,7.725237622,-0.555841838,-0.280252862
178.2076094,22.11733853,-1.734359241,14.41484251,4.661834889,-0.205540174,-0.151516533
69.83910478,13.36315166,-5.877004867,3.074729245,4.208096803,-0.446835386,-0.237355226
-30.75377731,7.945262765,-12.17631333,0.621558379,4.017413669,-0.498020706,-0.250379109
-20.93409912,-7.091514173,-15.90859751,1.812246134,6.925688768,-0.763451752,0.098748385
-13.24838673,-8.992960452,-17.65538422,0.018823925,4.497530484,-0.566509759,0.592196281
-43.69105492,12.2905579,-13.38229067,-2.320504402,8.082331617,-1.019456107,0.757224895
-8.675087802,0.762920654,-15.32652489,1.758703639,2.785323062,-0.320883589,-0.194832493
61.04601808,-1.861779151,-16.49203643,0.060802191,1.523414332,-0.18416089,-0.172622315
88.65700256,3.558440849,-10.29106971,4.789377503,4.038959825,-0.31544065,-0.218121107
-71.9246018,17.00219558,-22.64906644,2.767595037,-2.118986366,0.220706094,0.001435039
-49.82905471,2.946861908,-28.19164015,-3.960781942,-1.546790796,0.061357704,-0.09966721
-9.227697308,-9.65878187,-27.42460864,-8.605450488,0.4856399,-0.235890556,-0.187054571
-47.75480423,-15.02388278,-27.76892482,-14.50752754,2.268465555,-0.702537731,2.393897107
-94.2306339,60.59198721,-19.01855575,-6.523210461,-0.031378497,-0.185523682,-0.191392985
-36.35045529,-16.13465131,-21.97778001,4.495017634,1.651355216,-0.131322293,-0.121796373
75.06867868,-2.474216851,-11.31095266,12.16178199,4.621410069,-0.262136033,-0.165390249
-49.47365393,-4.514352336,-15.39239406,7.783369669,-0.826628373,0.137577436,0.02432154
-35.79492055,-6.124442546,-18.61407688,-1.983041243,0.021073173,-0.125455775,-0.119448814
-11.98489364,-13.71983966,-15.13483418,-0.761765728,6.390865492,-0.669694168,3.026667672
-41.18720997,32.23636828,-10.91368321,-0.095542426,2.420959078,-0.347853277,-0.20076742
-30.23085285,-22.59879981,-22.26019485,1.492970257,2.381500578,-0.268767765,-0.180773709
-55.68078528,-15.44379639,-21.88954376,-0.290211066,-1.02293413,0.018698265,-0.058506081
61.41252061,-4.567413124,-14.25935524,0.711491815,4.678144969,-0.504269374,-0.247274568
131.3379906,5.480565156,-0.421605422,12.12137467,7.922474991,-0.381353258,-0.276068835
54.85362072,78.74344922,6.758623113,10.68308905,1.797636796,-0.087139193,-0.064333013
-28.48635322,-9.038897902,-9.492613524,7.549065181,1.170860865,-0.102537383,-0.047613961
60.08581815,26.889534,-4.120239716,8.19395496,-1.737232277,0.246016132,0.057422773
-46.93122497,-2.335741099,-11.02110496,1.148470263,-0.831631373,-0.035053106,-0.035475478
-34.66469208,-8.70532827,-12.73528455,-0.425277251,-0.32725609,0.146452832,-0.061058917
-65.35188654,-20.06073181,-20.31366696,-1.149366835,-1.005148837,-0.024027648,-0.06056649
-27.93195214,-17.55132725,-15.94267527,4.924579458,-1.119451486,0.109494955,0.009276449
-24.74201878,-9.669448452,-16.37983666,-1.505382903,-1.775566453,0.048751314,-0.035654263
-24.84566462,-11.87173464,-16.00882522,-3.24149514,-2.11618138,0.039990784,-0.03752311
115.0667151,11.94869961,-7.908520931,-3.268090833,-1.950408707,0.527875477,-0.03583104
158.1164053,16.72197366,-1.494911088,-2.934222557,2.174503649,6.531266667,0.153291184
22.41124916,7.611045534,-4.020672472,5.047939268,-2.720183076,0.233417907,0.081737776
