DT_corss,DIWS_corss,DIR_cross,DIS_corss,DP_cross,TP_cross
1.11927033,-0.01871818,0.143413537,-0.865857177,-0.60701024,-1.269856831
1.545996955,-0.973474511,0.165925371,-21.61768878,-0.537645027,-1.160600399
3.346034143,-3.423819373,0.314849812,0.158019798,-2.05719386,-2.669332989
4.371739745,-1.509496285,0.366222971,0.183803445,-3.196990094,-4.005977157
3.926506601,0.233639637,0.354101215,0.177719663,-3.113599949,-3.74816199
3.542962352,0.54353139,0.32004485,0.160627134,-2.868199954,-3.813803533
2.818189647,0.714767026,0.262899425,0.131946448,-1.545688357,-2.422796397
2.412433542,0.329725495,0.251932121,0.126442074,-1.614182572,-2.358549342
2.321715816,0.196460694,0.246737083,0.123834738,-2.01327097,-2.951525107
2.935141932,-0.695476584,0.312540905,0.156860983,-2.840542394,-3.281109254
3.881431873,-1.601477287,0.351792308,0.176560848,-2.551101633,-3.075750409
3.286433435,-5.993174545,0.329857701,0.1655521,-2.350252405,-2.72891578
2.628587288,0.355160464,0.269826143,0.135422894,-1.20472736,-1.67204194
2.279919146,0.374916311,0.263476652,0.132236152,-2.728384515,-3.444647545
1.969864238,0.559566543,0.212680718,0.106742209,-1.793759272,-3.002951091
1.68835551,0.472921194,0.193055017,0.096892276,-1.216564678,-2.118560936
1.230688117,0.375379561,0.159575879,0.08008945,-0.837135763,-1.555297427
0.422674814,0.185168774,0.07818694,0.0392412,-0.169159479,-0.449612432
1.080983408,-0.237267904,0.178624354,0.089649679,-1.250079709,-1.628093838
2.629986001,-1.399789022,0.318890397,0.160047726,-3.22815193,-3.209434831
2.163400308,-2.465583195,0.285988486,0.143534604,-2.605257592,-2.649076514
1.857284582,-0.710438078,0.27583609,0.138439223,-1.868398504,-1.75327415
1.447100014,0.593924752,0.225379702,0.113115694,-0.563749355,-0.617389228
0.946240339,-0.020942953,0.187859978,0.094284941,0.017950225,0.018501497
1.764027829,-0.631713077,0.290606298,0.145852235,-1.438624516,-1.155172621
1.710224799,-0.83073069,0.325239889,0.163234469,-1.060735663,-0.659260118
1.329587606,-0.574603913,0.284834033,0.142955196,-0.453876935,-0.285940292
1.208622318,-1.177598478,0.244428177,0.122675923,-0.967475895,-0.752371382
1.125719495,0.221774723,0.165348144,0.082986489,-0.867417091,-1.372977922
1.994161281,0.558628479,0.251354895,0.12615237,-1.514961357,-1.838193312
2.363709626,0.334560256,0.302150828,0.151646313,-1.85301392,-1.844290246
2.405272874,0.701819209,0.309654773,0.155412463,-1.630988051,-1.57276421
1.646539191,0.532610596,0.224225249,0.112536286,-1.5266054,-1.921913687
1.321563799,0.021079888,0.170543183,-0.964049333,-1.222329967,-2.13506896
0.862470444,0.259873384,0.115706664,-1.766788083,-0.367593547,-0.910331136
0.611765229,0.251761008,0.098389868,0.049380837,-0.140163779,-0.340505294
0.893062286,0.413476691,0.161884785,0.081248266,-0.606580835,-0.794625338
2.085861831,-0.689008866,0.334475513,0.167869731,-2.467895388,-1.768836405
2.377892324,-0.134347289,0.332166607,0.166710915,-3.250340132,-2.69285579
2.541282365,0.684226819,0.324085436,0.162655061,-3.041258715,-2.828728731
2.062970543,0.504283931,0.272712276,0.136871414,-1.712779005,-1.826371087
2.261829142,0.550852957,0.306341995,0.153749815,-2.529992333,-2.344066726
2.672124572,0.742632779,0.334475513,0.167869731,-3.174069142,-2.914395369
2.062625488,0.529099144,0.260590519,0.130787632,-1.823709437,-2.129427436
1.899653476,-0.716573205,0.290029071,0.145562531,-1.448013641,-1.257094762
1.860112945,0.6903254,0.288874618,0.144983123,-1.07021256,-0.917053412
1.328047259,0.603638943,0.241542044,0.121227403,-0.027916886,-0.024428627
0.866010642,0.422293926,0.168234277,0.084435009,0.314435231,0.369853301
0.588021294,0.183952624,0.160153106,0.080379154,0.251993133,0.222082875
0.73456373,0.061712398,0.133600686,0.067052775,-0.148013838,-0.234163104
0.639352468,0.320747237,0.11628389,0.058361658,0.534044433,0.970694733
0.216922966,0.107011571,0.060292918,0.03026038,0.372372485,0.854190127
0.16773026,0.010484024,0.044130576,0.022148671,0.017260839,0.057147622
0.565600869,-0.172813515,0.11974725,0.060099881,-0.271717306,-0.412002941
0.693949701,0.077962853,0.113974984,-0.425066393,-0.17921034,-0.368023894
0.695257278,0.141452863,0.124365062,-0.942209882,-0.37934657,-0.65552456
0.636109764,-0.216402089,0.095503736,-1.017450506,-0.311475382,-0.835062746
0.687834068,0.004674147,0.14283631,0.071688037,-0.345218279,-0.447408532
0.53567227,0.232117879,0.111666078,0.056044027,-0.366544771,-0.605323739
0.328485001,0.145393361,0.058137402,0.036923569,0.033434937,0.078006154
1.62747306,-1.013740955,0.307345867,0.154253648,-1.644782478,-1.089360356
1.706534711,-0.256163746,0.265785558,0.133394967,-2.325820432,-2.159894769
1.110505643,0.253979716,0.16765705,0.019652813,-1.601632703,-2.432450979
0.847657688,0.146061654,0.120901702,-3.008792767,-1.415340816,-3.155155331
1.929226138,-2.519420123,0.274443955,0.137740526,-2.639154025,-2.598630766
1.121593861,0.331197669,0.215566851,0.108190728,-0.543755433,-0.504521083
0.608849851,0.321407789,0.133600686,0.067052775,0.472538685,0.619632571
0.689106257,-0.070351284,0.223648022,0.112246583,-0.11556394,-0.061204373
0.685037583,0.042094704,0.160730332,0.080668858,-0.812650725,-0.828374428
0.405330739,0.125321428,-0.019319711,-2.290749264,-0.171132185,-0.477562174
0.776968988,-0.746197585,0.160730332,0.080668858,-0.554746363,-0.641366845
0.930752958,0.431094749,0.175160995,0.087911455,-0.604552505,-0.705013908
0.85582831,0.197385543,0.203445094,0.102106946,-1.024320731,-0.814202083
0.376025884,0.168298595,0.071260222,0.008353146,-0.13160573,-0.374629728
0.003017085,0.002169407,-0.000216816,0.000420878,0.005480149,0.903830975
0.313505651,-1.051517703,0.127670995,0.064076726,0.469699044,0.347283862
0.305994549,0.083724571,0.137064045,0.068790998,0.183831676,0.115104152
0.227896122,-0.222709645,0.135282172,0.067896695,0.185167293,0.088638852
0.287156657,-0.083045634,0.133023459,0.066763071,-0.307459215,-0.191802369
0.296076108,0.055173208,-0.03006509,0.058361658,-0.349786633,-0.294422847
0.640581217,0.222764857,0.178047127,0.089359975,-0.870131593,-0.675916792
0.463843061,0.311501137,0.174583768,0.087621751,-0.233963932,-0.136872528
0.422412181,0.131344052,0.143990763,0.072267445,-0.645934095,-0.505893869
0.329647816,0.145233275,0.124942288,0.062707216,-0.636982542,-0.517086101
0.062674199,0.044306005,-0.03731862,0.014326665,-0.102138161,-0.301999881
-0.133483537,-0.11239621,1.992452669,-0.029832486,0.078402489,-0.113867251
0.036164738,-0.025751727,0.098005051,0.049187701,0.047299234,0.006846152
0.462836475,-3.159275882,0.255500431,0.12823297,-0.478241709,-0.130345426
0.625101052,-0.436340658,0.236924232,0.118909772,-0.477576649,-0.204445893
0.260604328,0.02989232,0.128405647,0.06444544,-0.033817937,-0.020547762
-0.054341442,0.19046297,0.092040377,0.046194094,0.315825866,-0.077880032
0.001397351,0.003310649,0.000738871,0.001000286,0.002420613,0.032734264
0.173529091,0.164715542,0.19594115,0.098340796,-0.887254199,-0.154160494
0.027800405,-0.031599493,0.107625493,0.054016099,-0.198766312,-0.018338662
-0.01248861,-0.14441038,0.013537571,0.006794364,0.055884561,-0.146395762
-0.003253709,-0.003161331,-0.005510904,-0.002765865,-0.013790585,0.056796266
0.120737809,0.109353232,0.142259084,0.071398333,-0.088525915,-0.020302884
0.06142852,-0.070366698,-0.075575535,0.011139922,-0.006782945,-0.032512037
0.267836254,-0.503869934,0.088243205,0.056044027,-0.090706618,-0.074897936
0.697380804,-4.828801795,0.25712716,0.129049409,-1.354318946,-0.54916023
0.379588078,0.30426684,0.160730332,0.080668858,-0.80925722,-0.457096088
0.045025457,-0.054700682,0.015846477,0.00795318,-0.03361513,-0.23170293
-0.021570992,-0.011469099,-0.012437622,-0.006242311,0.011153488,-0.059787461
-0.036587545,0.127789593,-0.02109602,-0.01058787,0.053658942,-0.169581459
0.029433129,-0.163706679,-0.063810782,-0.032025958,-0.112528223,-0.031268986
0.063989811,-0.077565004,0.021870907,-0.042455299,-0.093808701,-0.03224856
0.018116247,-0.060676858,-0.029754418,-0.014933428,0.040502806,0.031860639
-0.001001319,-0.005589301,0.007484873,-0.002476161,0.014528209,-0.022974547
-0.064954036,-0.062879476,1.19600885,-0.024203953,0.111464741,-0.119671635
-0.025609913,0.132410812,0.0816503,0.040979424,-0.162861543,0.024050003
-0.013660102,-0.011269484,0.007188079,0.003607621,0.000231546,-0.002353257
0.038356042,0.480094513,0.139439603,-0.032605366,-0.059699991,-0.020856915
0.162566379,-0.011458533,0.080032531,0.050829356,0.146523508,0.089274822
0.292154029,-2.493232267,0.174006542,0.087332047,0.626473429,0.232373941
0.140300933,-5.822391108,0.158421426,0.079510042,0.306128891,0.065787152
-0.081352659,-0.992210701,0.119170023,0.059810177,0.192540325,-0.042399765
-0.272478998,-1.839786802,0.10473936,0.05256758,0.138266118,-0.132017958
-0.098944614,0.022369598,0.026813781,0.013457554,0.14012822,-0.741319974
-0.103077407,0.010323256,0.020464289,0.010270811,0.146695418,-1.388004111
0.061451887,-0.046316264,-0.01936434,-0.009718758,-0.087706,-0.552539271
0.429644309,-0.193548808,0.205395164,-0.067949242,-0.950493144,-0.856463774
0.305220716,0.572749516,0.21077037,-0.054622862,-1.00075416,-0.991317278
-0.079856968,-0.084305064,0.022195969,0.011139922,0.116932875,-0.728627036
0.031741177,0.014568371,-0.00781981,-0.00392468,-0.051762663,-1.032883282
0.200768587,-0.050823769,-0.064388009,-0.032315662,-0.313380216,-0.583393237
-0.034847599,-0.019608341,0.006088685,0.008242883,0.077507873,-0.384928913
-0.061419584,-0.104147403,0.032008819,0.016064889,0.16930477,-0.390158255
0.004948901,0.009255584,-0.002047545,-0.001027641,-0.001751909,-0.079498209
0.123844453,-0.0712594,-0.056884064,-0.028549511,0.042604102,0.062683146
0.162727302,-0.076792415,-0.05919297,-0.029708327,0.033085789,0.059069828
0.251002044,-0.18385131,0.24282799,-0.051725823,-0.072949894,-0.06626852
0.571401771,-0.274377706,-0.144045268,-0.0722948,-0.278348827,-0.29467075
0.400755179,0.716823205,0.985605594,-0.073163912,-0.177050893,-0.128352285
0.262165171,-0.171885714,0.858890716,-0.079721755,-0.522186479,-0.208577326
0.259724181,-0.062718383,0.444928983,-0.058389013,-0.846236816,-0.624255253
0.134851894,-0.032952877,-0.026291059,-0.013195205,-0.221213506,-1.659038941
0.239515097,-0.051715923,-0.041876175,-0.02101721,-0.248020117,-1.302236429
0.601926612,-0.06795025,-0.124996793,-0.062734571,-0.58989348,-0.873621761
0.58690382,-0.270137447,-0.13365519,-0.06708013,-0.723875648,-0.914246456
0.580140917,-0.226673851,-0.088742425,-0.056361086,-0.90219933,-1.595502429
0.367056891,0.004349034,-0.075932539,-0.03810974,-0.507439355,-1.241840235
0.159883675,-0.05658173,-0.029177191,-0.014643724,-0.089029889,-0.642772121
0.710807463,-0.026826376,-0.126728472,-0.063603683,-0.228832754,-0.389337117
0.685353351,-0.414982208,1.274930941,-0.085560189,-0.120667132,-0.109390657
0.581746622,-0.488527355,7.247379935,-0.099526966,-0.67208555,-0.382205619
0.706428207,-0.337378378,-0.155012572,-0.077799174,-0.905002255,-1.022793342
0.609124011,-0.228625333,-0.101514584,-0.064472795,-0.600813636,-0.852535906
0.654961038,-0.320566992,-0.091992687,-0.079537398,-0.138940099,-0.139290177
0.621723341,-0.393501264,-0.048001426,-0.085786724,-0.083867877,-0.068607694
0.681002608,-0.414786236,-0.172246906,-0.086448905,0.015232285,0.013440488
0.634927342,-0.30108181,-0.155012572,-0.077799174,0.073552894,0.074712625
0.466125213,-0.249992236,-0.157898704,-0.079247694,0.048252826,0.034679454
1.121433,0.116691204,-0.162516516,-0.081565325,-0.355216397,-0.579796208
0.689306342,0.093459951,-0.168288781,-0.084462364,-0.204392255,-0.191236339
0.870252678,-0.168862493,-0.142560971,-0.071549847,-0.235062336,-0.3869289
0.675799875,-0.246721836,0.379794583,-0.088807922,-0.274681989,-0.227910873
0.74075737,-0.399635696,-0.188491709,-0.094602,-0.463725765,-0.371669345
1.062931691,-0.414877162,-0.07415853,-0.100396078,-0.880674734,-0.899306163
1.061842924,0.004411337,0.517552268,-0.110246011,-1.245339973,-1.053519583
