2010/1/2,129,-16,-4,1020,1.79,0,0
2010/1/2,148,-15,-4,1020,2.68,0,0
2010/1/2,159,-11,-5,1021,3.57,0,0
2010/1/2,181,-7,-5,1022,5.36,1,0
2010/1/2,138,-7,-5,1022,6.25,2,0
2010/1/2,109,-7,-6,1022,7.14,3,0
2010/1/2,105,-7,-6,1023,8.93,4,0
2010/1/2,124,-7,-5,1024,10.72,0,0
2010/1/2,120,-8,-6,1024,12.51,0,0
2010/1/2,132,-7,-5,1025,14.3,0,0
2010/1/2,140,-7,-5,1026,17.43,1,0
2010/1/2,152,-8,-5,1026,20.56,0,0
2010/1/2,148,-8,-5,1026,23.69,0,0
2010/1/2,164,-8,-5,1025,27.71,0,0
2010/1/2,158,-9,-5,1025,31.73,0,0
2010/1/2,154,-9,-5,1025,35.75,0,0
2010/1/2,159,-9,-5,1026,37.54,0,0
2010/1/2,164,-8,-5,1027,39.33,0,0
2010/1/2,170,-8,-5,1027,42.46,0,0
2010/1/2,149,-8,-5,1028,44.25,0,0
2010/1/2,154,-7,-5,1028,46.04,0,0
2010/1/2,164,-7,-5,1027,49.17,1,0
2010/1/2,156,-8,-6,1028,52.3,2,0
2010/1/2,126,-8,-6,1027,55.43,3,0
2010/1/3,90,-7,-6,1027,58.56,4,0
2010/1/3,63,-8,-6,1026,61.69,5,0
2010/1/3,65,-8,-7,1026,65.71,6,0
2010/1/3,55,-8,-7,1025,68.84,7,0
2010/1/3,65,-8,-7,1024,72.86,8,0
2010/1/3,83,-9,-8,1024,76.88,9,0
2010/1/3,91,-10,-8,1024,80.9,10,0
2010/1/3,86,-10,-9,1024,84.92,11,0
2010/1/3,82,-10,-9,1024,89.84,12,0
2010/1/3,86,-11,-9,1023,93.86,13,0
2010/1/3,78,-11,-9,1023,97.88,15,0
2010/1/3,98,-11,-9,1022,102.8,16,0
2010/1/3,107,-11,-9,1021,105.93,17,0
2010/1/3,90,-11,-9,1020,111.74,19,0
2010/1/3,96,-11,-9,1020,116.66,20,0
2010/1/3,95,-11,-9,1020,121.58,21,0
2010/1/3,86,-11,-9,1020,124.71,22,0
2010/1/3,70,-11,-9,1020,127.84,23,0
2010/1/3,61,-11,-9,1021,0.89,24,0
2010/1/3,53,-11,-9,1022,1.78,25,0
2010/1/3,71,-10,-9,1022,4.02,26,0
2010/1/3,72,-11,-10,1023,7.15,27,0
2010/1/3,76,-11,-9,1023,11.17,0,0
2010/1/3,73,-12,-11,1023,14.3,0,0
2010/1/4,79,-14,-12,1023,16.09,0,0
2010/1/4,58,-16,-9,1023,21.9,0,0
2010/1/4,25,-17,-10,1024,29.95,0,0
